program_name_and_version,EnergyPlus 25.2.0
program_version_release_date,11/14/25
program_name_short,E+
results_submission_date,6/9/26
organization,National Laboratory of the Rockies
organization_short,NLR
CE420 evap_coil_load_sensible_date,20-Jul
CE420 evap_coil_load_sensible_hr,15
CE420 evap_coil_load_latent_wh,10627.1
CE420 evap_coil_load_latent_date,10-Jul
CE420 evap_coil_load_latent_hr,13
CE420 evap_coil_load_sensible_and_latent_wh,33102.8
CE420 evap_coil_load_sensible_and_latent_date,20-Jul
CE420 evap_coil_load_sensible_and_latent_hr,15
CE430 energy_consumption_comp_both_fans_wh,12008.3
CE430 energy_consumption_comp_both_fans_date,20-Jul
CE430 energy_consumption_comp_both_fans_hr,15
CE430 evap_coil_load_sensible_wh,23460.4
CE430 evap_coil_load_sensible_date,20-Jul
CE430 evap_coil_load_sensible_hr,15
CE430 evap_coil_load_latent_wh,11369.3
CE430 evap_coil_load_latent_date,24-Oct
CE430 evap_coil_load_latent_hr,13
CE430 evap_coil_load_sensible_and_latent_wh,33102.8
CE430 evap_coil_load_sensible_and_latent_date,20-Jul
CE430 evap_coil_load_sensible_and_latent_hr,15
CE440 energy_consumption_comp_both_fans_wh,12008.3
CE440 energy_consumption_comp_both_fans_date,20-Jul
CE440 energy_consumption_comp_both_fans_hr,15
CE440 evap_coil_load_sensible_wh,23460.4
CE440 evap_coil_load_sensible_date,20-Jul
CE440 evap_coil_load_sensible_hr,15
CE440 evap_coil_load_latent_wh,10627.1
CE440 evap_coil_load_latent_date,10-Jul
CE440 evap_coil_load_latent_hr,13
CE440 evap_coil_load_sensible_and_latent_wh,33102.8
CE440 evap_coil_load_sensible_and_latent_date,20-Jul
CE440 evap_coil_load_sensible_and_latent_hr,15
CE500 energy_consumption_comp_both_fans_wh,10435.6
CE500 energy_consumption_comp_both_fans_date,20-Jul
CE500 energy_consumption_comp_both_fans_hr,15
CE500 evap_coil_load_sensible_wh,19788.3
CE500 evap_coil_load_sensible_date,20-Jul
CE500 evap_coil_load_sensible_hr,15
CE500 evap_coil_load_latent_wh,7905.77
CE500 evap_coil_load_latent_date,29-Jun
CE500 evap_coil_load_latent_hr,16
